event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Hayden Wilde,3:12:23,0:25:05,1:47:18,0:58:11,1,mpro,NZL,3,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Jelle Geens,3:12:44,0:24:54,1:48:10,0:57:56,2,mpro,BEL,1,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Samuel Dickinson,3:14:07,0:24:49,1:48:14,0:59:18,3,mpro,GBR,19,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Mathis Margirier,3:14:54,0:25:02,1:47:31,1:00:09,4,mpro,FRA,7,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Rico Bogen,3:15:14,0:24:57,1:47:16,1:00:58,5,mpro,DEU,2,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Morgan Pearson,3:17:16,0:24:47,1:53:13,0:57:09,6,mpro,USA,11,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Gregory Barnaby,3:18:27,0:25:12,1:51:08,1:00:00,7,mpro,ITA,10,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Wilhelm Hirsch,3:18:30,0:24:53,1:53:10,0:58:27,8,mpro,DEU,12,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Antonio Benito Lopez,3:19:02,0:24:56,1:53:09,0:59:03,9,mpro,ESP,4,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Menno Koolhaas,3:19:53,0:24:59,1:53:29,0:59:24,10,mpro,NLD,8,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Leo Bergere,3:20:22,0:24:58,1:52:56,1:00:33,11,mpro,FRA,6,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Kyle Smith,3:22:28,0:24:51,1:53:02,1:02:42,12,mpro,NZL,5,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Nicolas Mann,3:23:01,0:25:07,1:52:56,1:02:58,13,mpro,DEU,14,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Dylan Magnien,3:23:15,0:25:10,1:57:09,0:58:52,14,mpro,FRA,20,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Sam Long,3:23:36,0:29:25,1:53:21,0:58:49,15,mpro,USA,9,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Colin Szuch,3:26:02,0:29:20,1:53:33,1:00:45,16,mpro,USA,21,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Justus Nieschlag,3:32:01,0:25:00,1:57:51,1:07:09,17,mpro,DEU,16,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Harry Palmer,3:32:59,0:26:56,2:01:56,1:01:47,18,mpro,GBR,18,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,T100 Professional Men,100000,Pieter Heemeryck,3:36:18,0:25:45,2:04:49,1:02:16,19,mpro,BEL,17,sportstats
