event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Morgan Pearson,2:59:41,0:25:02,1:50:47,0:43:52,1,mpro,USA,8,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Mika Noodt,3:00:03,0:26:19,1:46:33,0:47:11,2,mpro,DEU,2,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Gregory Barnaby,3:00:53,0:26:22,1:48:05,0:46:26,3,mpro,ITA,6,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Jason West,3:01:42,0:26:27,1:50:59,0:44:16,4,mpro,USA,9,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Samuel Dickinson,3:01:51,0:25:09,1:47:35,0:49:07,5,mpro,GBR,5,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Vincent Luis,3:01:55,0:25:03,1:50:50,0:46:02,6,mpro,FRA,11,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Jonas Schomburg,3:02:36,0:25:07,1:49:42,0:47:47,7,mpro,DEU,10,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Filipe Azevedo,3:04:12,0:26:27,1:49:56,0:47:50,8,mpro,PRT,22,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Hayden Wilde,3:04:34,0:26:19,1:44:01,0:54:13,9,mpro,NZL,1,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Pieter Heemeryck,3:04:41,0:26:26,1:51:24,0:46:50,10,mpro,BEL,15,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Will Draper,3:05:11,0:30:38,1:46:19,0:48:14,11,mpro,GBR,16,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Guillem Montiel Moreno,3:06:05,0:26:25,1:52:17,0:47:23,12,mpro,ESP,14,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Marten Van Riel,3:06:49,0:25:06,1:45:27,0:56:16,13,mpro,BEL,4,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Mathis Margirier,3:07:35,0:26:21,1:44:03,0:57:12,14,mpro,FRA,3,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Mike Phillips,3:07:40,0:28:45,1:51:19,0:47:36,15,mpro,NZL,20,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Wilhelm Hirsch,3:08:25,0:25:10,1:52:19,0:50:56,16,mpro,DEU,7,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Jake Birtwhistle,3:09:47,0:26:24,1:54:37,0:48:46,17,mpro,AUS,12,sportstats
T100 Triathlon World Tour - Dubai,2025-11-15,T100 Professional Men,100000,Marc Dubrick,3:33:06,0:26:25,2:08:27,0:58:14,18,mpro,USA,17,sportstats
